timestamp,spot,strike,yes_bid,yes_ask,no_bid,no_ask,implied_prob,model_prob,edge_bps,hours_to_expiry,vol
2026-02-22 06:03:09.438000+00:00,67946.0233073144,69000.0,0.0,0.16,0.84,1.0,0.16,0.4259370802018839,2659.3708020188387,88.03071166666666,2.5
2026-02-22 07:02:21.131000+00:00,68026.51169714678,69000.0,0.0,0.16,0.84,1.0,0.16,0.4279404946248338,2679.404946248338,87.04413027777778,2.5
2026-02-22 08:03:39.719000+00:00,67985.83510142777,69000.0,0.0,0.16,0.84,1.0,0.16,0.42714855549031777,2671.485554903178,86.02230027777779,2.5
2026-02-22 09:02:02.518000+00:00,67950.31445098891,69000.0,0.0,0.16,0.84,1.0,0.16,0.4264582959177439,2664.5829591774395,85.04930055555556,2.5
2026-02-22 10:02:35.532000+00:00,68039.3698178956,69000.0,0.0,0.16,0.84,1.0,0.16,0.42869827627778806,2686.982762777881,84.04013,2.5
2026-02-22 11:02:08.739000+00:00,68119.230120068,69000.0,0.0,0.16,0.84,1.0,0.16,0.43074171759854796,2707.4171759854794,83.0475725,2.5
2026-02-22 12:03:13.668000+00:00,68194.59339383944,69000.0,0.0,0.16,0.84,1.0,0.16,0.43270416557494784,2727.041655749478,82.02953666666667,2.5
2026-02-22 13:02:40.756000+00:00,67931.58019160847,69000.0,0.0,0.16,0.84,1.0,0.16,0.4265645816641592,2665.645816641592,81.0386788888889,2.5
2026-02-22 14:02:29.467000+00:00,67631.9324739407,69000.0,0.0,0.16,0.84,1.0,0.16,0.41945510469855213,2594.5510469855217,80.04181472222223,2.5
2026-02-22 15:02:41.726000+00:00,67417.69362212557,69000.0,0.0,0.16,0.84,1.0,0.16,0.41432735322462194,2543.2735322462195,79.03840944444444,2.5
2026-02-22 16:02:51.675000+00:00,67664.896296285,69000.0,0.0,0.16,0.84,1.0,0.16,0.4204329567609959,2604.3295676099588,78.03564583333333,2.5
2026-02-22 17:02:08.771000+00:00,67607.70037223128,69000.0,0.0,0.16,0.84,1.0,0.16,0.4191092559713855,2591.0925597138544,77.04756361111112,2.5
2026-02-22 18:02:34.862000+00:00,67338.17491674826,69000.0,0.0,0.16,0.84,1.0,0.16,0.4124964797933066,2524.9647979330657,76.04031611111111,2.5
2026-02-22 19:02:26.046000+00:00,67408.00208323984,69000.0,0.0,0.16,0.84,1.0,0.16,0.41426957005135856,2542.6957005135855,75.042765,2.5
2026-02-22 20:03:02.538000+00:00,67401.27120317247,69000.0,0.0,0.16,0.84,1.0,0.16,0.41413743413645415,2541.3743413645416,74.03262833333334,2.5
2026-02-22 21:03:00.332000+00:00,67368.4929540634,69000.0,0.0,0.16,0.84,1.0,0.16,0.4133394877879101,2533.3948778791005,73.03324111111111,2.5
2026-02-22 22:02:33.305000+00:00,67584.46138307691,69000.0,0.0,0.16,0.84,1.0,0.16,0.4188693866352535,2588.6938663525348,72.04074861111111,2.5
2026-02-22 23:02:40.889000+00:00,67654.03558297858,69000.0,0.0,0.16,0.84,1.0,0.16,0.42071374790555355,2607.1374790555356,71.03864194444445,2.5
2026-02-23 00:00:13.999000+00:00,67585.11718938159,69000.0,0.0,0.16,0.84,1.0,0.16,0.4189969486211022,2589.9694862110223,70.07944472222222,2.5
2026-02-23 01:02:25.581000+00:00,66754.4877270225,69000.0,0.0,0.16,0.84,1.0,0.16,0.3974161974036222,2374.161974036222,69.04289416666667,2.5
2026-02-23 02:03:22.673000+00:00,64435.12705551635,69000.0,0.0,0.16,0.84,1.0,0.16,0.33693411335205803,1769.3411335205803,68.02703527777777,2.5
